コード,PER,PBR,EPS成長率,自社株買い,業種平均PER
6326,10.591477,1.0067852,96.3,,16.103048
6331,9.371039,1.5727022,66.60000000000001,,16.103048
6332,6.4129906,1.0840495,-16.0,,16.103048
6349,13.927697,0.8204142,22.900000000000002,,16.103048
6361,29.093662,1.8190691,15.4,,16.103048
6363,13.752674,1.3164543,,,16.103048
6367,22.035503,1.9257288,,,16.103048
6368,21.232523,4.2518935,-5.7,,16.103048
6370,21.669018,2.5444398,154.4,,16.103048
6371,8.890242,0.90181375,-3.1,,16.103048
6376,13.138007,1.3542503,91.4,,16.103048
6383,26.920773,4.3336773,13.900000000000002,,16.103048
6395,6.686762,0.7756939,1399.0,,16.103048
6407,27.58926,2.3365176,129.6,,16.103048
6412,18.471283,0.853911,-2.9000000000000004,,16.157451000000002
6417,8.573654,1.5273137,-53.7,,16.157451000000002
6419,8.778022,0.66452295,-35.199999999999996,,16.157451000000002
6420,11.2322645,1.2217841,13.4,,16.103048
6432,11.639502,1.7649716,0.1,,16.103048
6436,13.355458,2.0220635,-39.4,,21.674925
6448,18.203472,1.3898761,325.8,,16.103048
6454,22.84297,2.7801077,20.3,,16.103048
6457,16.996592,1.1447431,920.8000000000001,,16.103048
6458,12.210062,1.2472947,-18.3,,16.103048
6460,,1.5691075,,,22.2654135
6463,10.643651,0.5541981,-19.6,,16.157451000000002
6465,20.395338,1.9354511,0.4,,16.103048
6471,23.51299,0.78133863,795.8000000000001,,16.157451000000002
6472,15.771039,0.73186153,62.0,,16.103048
6473,54.318363,0.8039449,112.5,,16.157451000000002
6474,17.728296,0.66535276,413.3,,16.103048
6479,13.84347,1.478588,95.6,,21.674925
6481,31.63111,2.7994177,758.4,,16.103048
6486,13.635525,0.9978605,32.6,,16.103048
6490,25.375746,2.6929605,85.8,,16.103048
6498,13.811037,2.3070612,-70.1,,16.103048
6501,29.611788,3.5648665,-1.4000000000000001,,16.103048
6503,28.429594,2.5257194,20.8,,16.103048
6504,20.285698,2.4931579,89.4,,16.103048
6506,36.381756,2.635616,-21.7,,16.103048
6507,23.989113,3.4179,28.299999999999997,,16.103048
6516,22.610693,1.4663404,184.9,,16.103048
6523,360.51282,1.0555247,,,18.2721025
6525,63.23633,8.416993,70.6,,21.674925
6526,38.30604,2.5862823,,,16.103048
6532,29.82252,10.125813,19.0,,16.103048
6544,37.26784,11.976189,19.7,,16.103048
6586,16.93949,1.3006401,18.6,,16.103048
6588,,1.6422318,,,21.674925
6590,24.16368,5.0326695,-32.6,,21.674925
6592,14.125708,1.2063762,22.7,,16.157451000000002
6622,22.08346,1.967281,40.9,,16.103048
6630,,1.8419495,,,19.03057
6632,8.879132,0.9619174,-71.3,,16.157451000000002
6645,36.99063,1.5209302,56.00000000000001,,21.674925
6651,14.286657,1.333309,67.30000000000001,,16.103048
6652,27.13001,1.4271615,922.4,,16.103048
6674,16.428368,1.3141817,15.7,,16.157451000000002
6701,22.994968,2.7677774,157.4,,21.674925
6702,20.652735,3.074366,-76.6,,21.674925
6703,10.740935,1.3446717,,,21.674925
6707,,1.2579677,,,21.674925
6723,18.596905,2.2201943,,,21.674925
6724,52.708668,1.1061307,96.39999999999999,,21.674925
6727,10.879369,2.7839484,24.9,,21.674925
6728,21.46541,1.5203048,52.2,,16.103048
6737,16.259623,0.5781364,295.8,,21.674925
6744,18.170452,1.8362253,,,16.103048
6750,7.3776503,1.4033675,57.49999999999999,,21.674925
6752,53.585094,1.87533,89.2,,21.674925
6753,8.430272,1.3569387,-88.6,,21.674925
6754,36.52393,3.2037024,463.6,,21.674925
6758,19.804585,2.588463,44.4,,21.674925
6762,29.195805,2.4819448,94.3,,21.674925
6768,,0.9448803,1137.4,,21.674925
6770,15.717573,0.9288172,,,21.674925
6787,22.717384,3.115379,5.5,,21.674925
6804,9.124804,0.8761421,176.89999999999998,,16.103048
6806,25.337107,2.1696544,1.4000000000000001,,21.674925
6807,21.674925,1.0644914,-61.1,,21.674925
6810,11.3036585,0.9291937,50.5,,21.674925
6814,14.333196,2.6122098,38.2,,21.674925
